simulator,variant,neurons,in_degree,synapses,repeat,phase,seconds,host_rss_mb,gpu_mb
nestgpu,fixed_indegree,12500,1000,12512500,0,create,0.0022153854370117188,190.7,217.0
nestgpu,fixed_indegree,12500,1000,12512500,0,connect,0.006819963455200195,198.5,513.0
nestgpu,fixed_indegree,12500,1000,12512500,0,calibrate,0.04456615447998047,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,simulate_warmup_10,0.0023491382598876953,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,ticks_11_100,0.014025688171386719,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,total,1.6545958518981934,201.6,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,create,0.0030117034912109375,190.8,217.0
nestgpu,fixed_indegree,12500,1000,12512500,0,connect,0.006872415542602539,198.6,513.0
nestgpu,fixed_indegree,12500,1000,12512500,0,calibrate,0.04434061050415039,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,simulate_warmup_10,0.0022497177124023438,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,ticks_11_100,0.014425516128540039,199.4,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,total,1.767880916595459,201.6,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,create,0.002789735794067383,191.0,217.0
nestgpu,fixed_indegree,12500,1000,12512500,0,connect,0.007177114486694336,198.8,513.0
nestgpu,fixed_indegree,12500,1000,12512500,0,calibrate,0.04243040084838867,199.7,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,simulate_warmup_10,0.002489328384399414,199.7,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,ticks_11_100,0.011473655700683594,199.7,367.0
nestgpu,fixed_indegree,12500,1000,12512500,0,total,1.7597410678863525,201.9,367.0
nestgpu,fixed_indegree,12500,2000,25012500,0,create,0.0019648075103759766,190.8,217.0
nestgpu,fixed_indegree,12500,2000,25012500,0,connect,0.009986400604248047,198.6,743.0
nestgpu,fixed_indegree,12500,2000,25012500,0,calibrate,0.08128094673156738,199.5,559.0
nestgpu,fixed_indegree,12500,2000,25012500,0,simulate_warmup_10,0.002004384994506836,199.5,559.0
nestgpu,fixed_indegree,12500,2000,25012500,0,ticks_11_100,0.011065006256103516,199.5,559.0
nestgpu,fixed_indegree,12500,2000,25012500,0,total,1.9161477088928223,201.7,559.0
nestgpu,fixed_indegree,12500,4000,50012500,0,create,0.0020864009857177734,190.7,217.0
nestgpu,fixed_indegree,12500,4000,50012500,0,connect,0.012654781341552734,198.6,1011.0
nestgpu,fixed_indegree,12500,4000,50012500,0,calibrate,0.12572789192199707,199.4,751.0
nestgpu,fixed_indegree,12500,4000,50012500,0,simulate_warmup_10,0.001920938491821289,199.4,751.0
nestgpu,fixed_indegree,12500,4000,50012500,0,ticks_11_100,0.01958155632019043,199.4,751.0
nestgpu,fixed_indegree,12500,4000,50012500,0,total,1.885915756225586,201.6,751.0
