simulator,variant,neurons,in_degree,synapses,repeat,phase,seconds,host_rss_mb,gpu_mb
sna,columnar,12500,1000,12512500,0,generation,2.0742416381835938e-05,256.4,0.0
sna,columnar,12500,1000,12512500,0,model_load.decode_arrays,3.2901763916015625e-05,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.constraint_check,0.3039078712463379,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.property_columns,9.165853261947632,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.neighbor_csr,0.6031532287597656,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.assemble,0.03826093673706055,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.build_from_local_columns,31.200278759002686,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.bookkeeping,0.010345935821533203,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.other,0.510164737701416,8861.5,0.0
sna,columnar,12500,1000,12512500,0,model_load.total,41.83199763298035,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.analysis,0.38419032096862793,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.sort_by_breed,1.0268909931182861,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.tensors,2.0742416381835938e-05,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.codegen,0.0534520149230957,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.jit,0.009531021118164062,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.snn_pre_super,5.4836273193359375e-06,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.snn_shrink_buffers,18.845590114593506,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.sagesim_total,1.9839587211608887,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.other,0.5116977691650391,8861.5,0.0
sna,columnar,12500,1000,12512500,0,setup.total,20.83137845993042,8861.5,0.0
sna,columnar,12500,1000,12512500,0,inject_drive,0.04065704345703125,8861.5,0.0
sna,columnar,12500,1000,12512500,0,first_tick.total,162.80270671844482,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.neighbor,6.9141387939453125e-06,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.ghost_topo,12.789365530014038,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build,149.2425994873047,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.comm_init,2.86102294921875e-06,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.breed_ranges,0.230454683303833,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.id_hashmap,5.385759353637695,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.id_cpu_dict,1.3582162857055664,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.id_gpu_upload,2.0206761360168457,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.id_global_data,0.002103567123413086,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.id_gpu_hashmap,2.0047478675842285,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.combined_data,1.9802889823913574,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.mpi_sync,1.0013580322265625e-05,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.prop_tensors,141.3576521873474,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.gpu_build.write_bufs,0.00014734268188476562,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.breed,0.3459625409996079,16195.8,50.1
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.hyperparameters,6.522769851000703,16195.8,450.9
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.learning_hyperparameters,5.943013362999409,16195.8,551.1
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.internal_states,5.250914325999474,16195.8,150.3
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.learning_internal_states,2.2194852269994954,16195.8,150.3
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.synapse_delay_reg,5.4259878530001515,16195.8,50.1
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.input_spikes_tensor,5.722964599000079,16195.8,801.6
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.output_spikes_tensor,2.3295411090002744,16195.8,100.2
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.internal_states_buffer,53.09870729400063,16195.8,150.3
sna,columnar,12500,1000,12512500,0,first_tick.prop_tensors.learning_internal_states_buffer,54.497949272999904,16195.8,150.3
sna,columnar,12500,1000,12512500,0,ticks_2_100,0.9922418594360352,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,simulate_wall,164.3729763031006,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,total,237.57737588882446,16195.8,3981.0
sna,columnar,12500,1000,12512500,0,gpu_pool_used,0.0,16195.8,3557.7
