simulator,variant,neurons,in_degree,synapses,repeat,phase,seconds,host_rss_mb,gpu_mb
sna,masquelier,2000,1,2000,0,generate_spikes,0.67545485496521,504.8,0.0
sna,masquelier,2000,1,2000,0,create,0.014791011810302734,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.analysis,0.28987741470336914,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.sort_by_breed,0.0014390945434570312,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.tensors,7.152557373046875e-06,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.codegen,0.012742042541503906,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.jit,0.0019350051879882812,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.other,0.0021507740020751953,504.8,0.0
sna,masquelier,2000,1,2000,0,setup.total,0.3081514835357666,504.8,0.0
sna,masquelier,2000,1,2000,0,load_spike_trains,0.14589238166809082,504.8,0.0
sna,masquelier,2000,1,2000,0,first_tick.total,1.660041332244873,757.1,159.0
sna,masquelier,2000,1,2000,0,first_tick.gpu_build,0.4283771514892578,757.1,159.0
sna,masquelier,2000,1,2000,0,simulate,81.37192940711975,757.1,159.0
sna,masquelier,2000,1,2000,0,construction_in_simulate,0.1340181827545166,757.1,159.0
sna,masquelier,2000,1,2000,0,total,84.46565914154053,757.1,159.0
sna,masquelier-fused,2000,1,2000,0,generate_spikes,0.6103434562683105,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,create,0.015474557876586914,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.analysis,0.2523951530456543,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.sort_by_breed,0.0015499591827392578,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.tensors,6.198883056640625e-06,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.codegen,0.011584997177124023,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.jit,0.002001047134399414,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.other,0.002079486846923828,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,setup.total,0.26961684226989746,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,load_spike_trains,0.13901162147521973,505.0,0.0
sna,masquelier-fused,2000,1,2000,0,first_tick.total,0.0,577.6,175.0
sna,masquelier-fused,2000,1,2000,0,first_tick.gpu_build,0.0,577.6,175.0
sna,masquelier-fused,2000,1,2000,0,simulate,30.82991933822632,577.6,175.0
sna,masquelier-fused,2000,1,2000,0,tick_path,0.0,577.6,175.0
sna,masquelier-fused,2000,1,2000,0,construction_in_simulate,0.10542798042297363,577.6,175.0
sna,masquelier-fused,2000,1,2000,0,total,33.787336587905884,577.6,175.0
brian2,masquelier,2000,1,2000,0,generate_spikes,0.5479085445404053,377.7,0.0
brian2,masquelier,2000,1,2000,0,create,0.33158326148986816,377.7,0.0
brian2,masquelier,2000,1,2000,0,simulate,6.505765438079834,511.5,0.0
brian2,masquelier,2000,1,2000,0,total,11.106439113616943,511.5,0.0
nestgpu,masquelier,2000,1,2000,0,generate_spikes,0.6138405799865723,460.0,215.0
nestgpu,masquelier,2000,1,2000,0,create,0.002536296844482422,460.0,217.0
nestgpu,masquelier,2000,1,2000,0,load_spike_trains,0.13138532638549805,460.0,217.0
nestgpu,masquelier,2000,1,2000,0,connect,0.003362894058227539,460.0,473.0
nestgpu,masquelier,2000,1,2000,0,calibrate,0.4351041316986084,460.0,367.0
nestgpu,masquelier,2000,1,2000,0,simulate,10.994016647338867,460.0,367.0
nestgpu,masquelier,2000,1,2000,0,total,12.567569017410278,460.0,367.0
sna,masquelier-fused_afterfix,2000,1,2000,0,generate_spikes,0.547182559967041,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,create,0.013681888580322266,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.analysis,0.29161548614501953,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.sort_by_breed,0.0019311904907226562,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.tensors,7.867813110351562e-06,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.codegen,0.010741472244262695,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.jit,0.0019659996032714844,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.snn_pre_super,5.245208740234375e-06,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.sagesim_setup,0.30635595321655273,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.snn_shrink_buffers,0.0001380443572998047,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.other,0.0,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,setup.total,0.3077695369720459,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,load_spike_trains,0.13224244117736816,505.0,0.0
sna,masquelier-fused_afterfix,2000,1,2000,0,first_tick.total,0.0,576.5,175.0
sna,masquelier-fused_afterfix,2000,1,2000,0,first_tick.gpu_build,0.0,576.5,175.0
sna,masquelier-fused_afterfix,2000,1,2000,0,simulate,30.848819494247437,576.5,175.0
sna,masquelier-fused_afterfix,2000,1,2000,0,tick_path,0.0,576.5,175.0
sna,masquelier-fused_afterfix,2000,1,2000,0,construction_in_simulate,0.08854174613952637,576.5,175.0
sna,masquelier-fused_afterfix,2000,1,2000,0,total,35.10849928855896,576.5,175.0
